"titleId","title"
"ZbZdruDel.1990-07-30.s004-03.toc-item21","Pobuda, da skupščine republik in avtonomnih pokrajin sklenejo dogovor o izdaji doplačilne znamke "mesec boja proti raku" z osnutkom dogovora (35. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item22","Predlog zakona o spremembi zakona o proračunu republike Slovenije za leto 1990 (nadaljevanje 9. točke dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item23","Celovita ocena posledic preselitve orožja teritorialne obrambe v objekte JLA (nadaljevanje 6. točke dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item24",""
"ZbZdruDel.1990-07-30.s004-03.toc-item25","Celovita ocena posledic preselitve orožja teritorialne obrambe v objekte JLA (nadaljevanje 6. točke dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item26","Obravnava problematike gradnje hidroelektrarne Golica Koralpe, s predlogi ukrepov (18. točke dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item27","Predlog zakona o dopolnitvi zakona o začasni prepovedi sečnje v gozdovih v družbeni lastnini in začasni prepovedi prometa z nepremičninami v družbeni lasti (36. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item28","Razprava in ocena stanja v zvezi s pritiskom na Francko Strmole-Hlastec, predsednico Vrhovnega sodišča Slovenije (37. točka dnevnega reda)"
"ZbZdruDel.1990-07-30.s004-03.toc-item29","Pobude, predlogi in vprašanja delegatov (38. točka dnevnega reda; nadaljevanje str. 196)"
"ZbZdruDel.1990-07-30.s004-03.toc-item30","Usklajevanje o predlogu zakona o spremembi zakona o proračunu Republike Slovenije za leto 1990 (9. točka dnevnega reda)"
"ZbZdruDel.1990-07-31.s004-04.toc-item1","Ugotavljanje prisotnosti delegatov"
"ZbZdruDel.1990-07-31.s004-04.toc-item2","Usklajevanje in razširitev dnevnega reda z dvema točkama"
"ZbZdruDel.1990-07-31.s004-04.toc-item3","Predlog, da se začne postopek za sprejem ustave Republike Slovenije (39. točka dnevnega reda)"
"ZbZdruDel.1990-07-31.s004-04.toc-item4","Informacija o stanju v kazensko poboljševalnih zavodih v Republiki Sloveniji ter o zahtevah obsojencev (40. točka dnevnega reda)"
"ZbZdruDel.1990-07-31.s004-04.toc-item5","Usklajevanje stališče med zbori o predlogu zakona o funkcionarjih v državnih organih (10. točka dnevnega reda)"
"ZbZdruDel.1990-07-31.s004-04.toc-item6","Usklajevanje stališč med zbori o predlogu zakona o kriterijih in načinu financiranja uresničevanja pravic presežkov delavcev (11. točka dnevnega reda)"
"ZbZdruDel.1990-07-31.s004-04.toc-item7","Usklajevanje stališč med zbori o programskih usmeritvah Izvršnega sveta Skupščine Republike Slovenije (5. točka dnevnega reda)"
"ZbZdruDel.1990-07-31.s004-04.toc-item8","Usklajevanje stališč med zbori o predlogu zakona o dopolnitvi zakona o posebnem prometnem davku (16. točka dnevnega reda)"
"ZbZdruDel.1990-07-31.s004-04.toc-item9","Usklajevanje med zbori o poročilu delegacije Skupščine Republike Slovenije v Zboru republik in pokrajin (19. točka dnevnega reda)"
"ZbZdruDel.1990-07-31.s004-04.toc-item10","Pobude, predlogi in vprašanja delegatov (nadaljevanje 38. točke dnevnega reda)"
"ZbZdruDel.1990-07-31.s004-04.toc-item11","Predlog, da se začne postopek za spremembo ustave Republike Slovenije z osnutkom amandmajev (39. točka dnevnega reda)"
"ZbZdruDel.1990-09-27.s005-01.toc-item1","Ugotavljanje prisotnosti"
"ZbZdruDel.1990-09-27.s005-01.toc-item2","Proceduralne zadeve"
"ZbZdruDel.1990-09-27.s005-01.toc-item3","Določitev dnevnega reda"
"ZbZdruDel.1990-09-27.s005-01.toc-item4","Protestna izjava v zvezi s preganjanjem in zapiranjem legalno izvoljenih delegatov kosovske skupščine"
"ZbZdruDel.1990-09-27.s005-01.toc-item5","Odobritev zapisnika 4. seje Zbora združenega dela in osnutka k obravnavi strogo zaupnega gradiva na 4. seji zbora (1. točka dnevnega reda)"
"ZbZdruDel.1990-09-27.s005-01.toc-item6","Predlogi odlokov o ustanovitvi, nalogah in sestavi nekaterih delovnih teles Skupščine Republike Slovenije in predlog odloka o določitvi števila sodnikov in sodnikov porotnikov rednih sodišč (2. točka dnevnega reda)"
"ZbZdruDel.1990-09-27.s005-01.toc-item7","Predlog ustavnih amandmajev od XCVI do XCVIII k Ustavi Republike Slovenije (3. točka dnevnega reda)"
"ZbZdruDel.1990-09-27.s005-01.toc-item8","Amandmaji od XLIX do LXXIII k Ustavi SFRJ in ustavni zakon za izvedbo amandmajev od XLIX do LXXIII k Ustavi SFRJ (4. točka dnevnega reda)"
"ZbZdruDel.1990-09-27.s005-01.toc-item9","Predlog zakona o ustanovitvi Visoke pravne šole v Mariboru (5. točka dnevnega reda)"
"ZbZdruDel.1990-09-27.s005-01.toc-item10","Predlog za izdajo zakona o pospeševanju razvoja manj razvitih občin in demografsko ogroženih območij v Republiki Sloveniji (6. točka dnevnega reda)"
"ZbZdruDel.1990-09-27.s005-01.toc-item11","Predlog za izdajo zakona o spremembi in dopolnitvah zakona o političnem združevanju, s predlogom zakona (7. točka dnevnega reda)"
"ZbZdruDel.1990-09-27.s005-01.toc-item12","8. TOČKO DNEVNEGA REDA"
"ZbZdruDel.1990-09-27.s005-01.toc-item13","Poročilo delegacije Skupščine Republike Slovenije v Zboru republik in pokrajin Skupščine SFRJ o poteku usklajevanja nekaterih aktov iz pristojnosti Zbora republik in pokrajin Skupščine SFRJ (9. točka dnevnega reda)"
"ZbZdruDel.1990-09-27.s005-01.toc-item14","Osnutek zakona o zagotovitvi sredstev za nakup, uporabo in vzdrževanje letal za gašenje gozdnih in drugih požarov (13. točka dnevnega reda)"
